variant,db,file,raw_nfiq2,raw_error,final_nfiq2,final_error,delta_final
v2a_minus_p2,DB1_B,108_2.tif,79.0,,77.0,,-2.0
v2a_minus_p6,DB1_B,108_2.tif,79.0,,50.0,,-29.0
v2b_minus_p1,DB1_B,108_2.tif,79.0,,78.0,,-1.0
v2b_minus_p2,DB1_B,108_2.tif,79.0,,79.0,,0.0
v2b_minus_p6,DB1_B,108_2.tif,79.0,,79.0,,0.0
v2a_minus_p1,DB1_B,108_3.tif,82.0,,75.0,,-7.0
v2a_minus_p2,DB1_B,108_3.tif,82.0,,76.0,,-6.0
v2a_minus_p6,DB1_B,108_3.tif,82.0,,70.0,,-12.0
v2b_minus_p1,DB1_B,108_3.tif,82.0,,77.0,,-5.0
v2b_minus_p2,DB1_B,108_3.tif,82.0,,66.0,,-16.0
v2b_minus_p6,DB1_B,108_3.tif,82.0,,69.0,,-13.0
v2a_minus_p1,DB1_B,108_4.tif,75.0,,77.0,,2.0
v2a_minus_p2,DB1_B,108_4.tif,75.0,,78.0,,3.0
v2a_minus_p6,DB1_B,108_4.tif,75.0,,76.0,,1.0
v2b_minus_p1,DB1_B,108_4.tif,75.0,,72.0,,-3.0
v2b_minus_p2,DB1_B,108_4.tif,75.0,,76.0,,1.0
v2b_minus_p6,DB1_B,108_4.tif,75.0,,85.0,,10.0
v2a_minus_p1,DB1_B,108_5.tif,44.0,,72.0,,28.0
v2a_minus_p2,DB1_B,108_5.tif,44.0,,56.0,,12.0
v2a_minus_p6,DB1_B,108_5.tif,44.0,,69.0,,25.0
v2b_minus_p1,DB1_B,108_5.tif,44.0,,58.0,,14.0
v2b_minus_p2,DB1_B,108_5.tif,44.0,,63.0,,19.0
v2b_minus_p6,DB1_B,108_5.tif,44.0,,72.0,,28.0
