database,filename,relative_path,raw_nfiq2,stage1_p1_nfiq2,stage2_p1_p2_nfiq2,stage3_p1_p2_p6_nfiq2,delta_p1,delta_p2,delta_p6,delta_final,processing_status,error,raw_error,stage1_error,stage2_error,stage3_error,stage3_equals_enhance,shape,dtype,processing_seconds,scoring_seconds,total_seconds
DB2_B,104_6.tif,data/raw/DB2_B/104_6.tif,61.0,59.0,59.0,63.0,-2.0,0.0,4.0,2.0,success,,,,,,True,560x296,uint8,0.06147710000368534,1.645905200006382,1.7080077000064193
DB2_B,104_7.tif,data/raw/DB2_B/104_7.tif,69.0,55.0,55.0,56.0,-14.0,0.0,1.0,-13.0,success,,,,,,True,560x296,uint8,0.061211699998239055,1.62588390000019,1.687757200001215
DB2_B,104_8.tif,data/raw/DB2_B/104_8.tif,17.0,19.0,19.0,15.0,2.0,0.0,-4.0,-2.0,success,,,,,,True,560x296,uint8,0.06606360000296263,1.6460583000007318,1.7126677000051131
DB2_B,105_1.tif,data/raw/DB2_B/105_1.tif,62.0,59.0,59.0,68.0,-3.0,0.0,9.0,6.0,success,,,,,,True,560x296,uint8,0.06267959999968298,1.6457078999956138,1.70898959999613
DB2_B,105_2.tif,data/raw/DB2_B/105_2.tif,63.0,45.0,45.0,50.0,-18.0,0.0,5.0,-13.0,success,,,,,,True,560x296,uint8,0.06179659999907017,1.6397988999960944,1.7021508999969228
DB2_B,105_3.tif,data/raw/DB2_B/105_3.tif,59.0,59.0,59.0,63.0,0.0,0.0,4.0,4.0,success,,,,,,True,560x296,uint8,0.061922699998831376,1.6592540999990888,1.7217821000012918
DB2_B,105_4.tif,data/raw/DB2_B/105_4.tif,56.0,77.0,77.0,68.0,21.0,0.0,-9.0,12.0,success,,,,,,True,560x296,uint8,0.059951299997919705,1.6383399999976973,1.6989185999991605
DB2_B,105_5.tif,data/raw/DB2_B/105_5.tif,31.0,29.0,29.0,30.0,-2.0,0.0,1.0,-1.0,success,,,,,,True,560x296,uint8,0.06485450000036508,1.6504980999961845,1.7159585999979754
DB2_B,105_6.tif,data/raw/DB2_B/105_6.tif,52.0,51.0,51.0,57.0,-1.0,0.0,6.0,5.0,success,,,,,,True,560x296,uint8,0.06086510000022827,1.6362799999988056,1.697697399999015
DB2_B,105_7.tif,data/raw/DB2_B/105_7.tif,32.0,57.0,57.0,55.0,25.0,0.0,-2.0,23.0,success,,,,,,True,560x296,uint8,0.06136710000282619,1.6615609000000404,1.7235705999992206
DB2_B,105_8.tif,data/raw/DB2_B/105_8.tif,38.0,55.0,55.0,61.0,17.0,0.0,6.0,23.0,success,,,,,,True,560x296,uint8,0.06019240000023274,1.6524203000008129,1.7131555000014487
