variant,db,file,raw_nfiq2,raw_error,final_nfiq2,final_error,delta_final
minus_p1,DB1_B,110_7.tif,81.0,,60.0,,-21.0
minus_p2,DB1_B,110_7.tif,81.0,,73.0,,-8.0
minus_p6,DB1_B,110_7.tif,81.0,,60.0,,-21.0
minus_p1,DB1_B,110_8.tif,61.0,,63.0,,2.0
minus_p2,DB1_B,110_8.tif,61.0,,58.0,,-3.0
minus_p6,DB1_B,110_8.tif,61.0,,63.0,,2.0
minus_p1,DB2_B,101_1.tif,71.0,,72.0,,1.0
minus_p2,DB2_B,101_1.tif,71.0,,77.0,,6.0
minus_p6,DB2_B,101_1.tif,71.0,,79.0,,8.0
minus_p1,DB2_B,101_2.tif,70.0,,61.0,,-9.0
minus_p2,DB2_B,101_2.tif,70.0,,76.0,,6.0
minus_p6,DB2_B,101_2.tif,70.0,,75.0,,5.0
minus_p1,DB2_B,101_3.tif,59.0,,66.0,,7.0
minus_p2,DB2_B,101_3.tif,59.0,,70.0,,11.0
minus_p6,DB2_B,101_3.tif,59.0,,67.0,,8.0
minus_p1,DB2_B,101_4.tif,68.0,,53.0,,-15.0
minus_p2,DB2_B,101_4.tif,68.0,,63.0,,-5.0
minus_p6,DB2_B,101_4.tif,68.0,,68.0,,0.0
minus_p1,DB2_B,101_5.tif,75.0,,65.0,,-10.0
minus_p2,DB2_B,101_5.tif,75.0,,75.0,,0.0
minus_p6,DB2_B,101_5.tif,75.0,,67.0,,-8.0
minus_p1,DB2_B,101_6.tif,63.0,,48.0,,-15.0
minus_p2,DB2_B,101_6.tif,63.0,,59.0,,-4.0
minus_p6,DB2_B,101_6.tif,63.0,,58.0,,-5.0
minus_p1,DB2_B,101_7.tif,21.0,,38.0,,17.0
minus_p2,DB2_B,101_7.tif,21.0,,58.0,,37.0
minus_p6,DB2_B,101_7.tif,21.0,,49.0,,28.0
minus_p1,DB2_B,101_8.tif,21.0,,54.0,,33.0
minus_p2,DB2_B,101_8.tif,21.0,,59.0,,38.0
minus_p6,DB2_B,101_8.tif,21.0,,60.0,,39.0
minus_p1,DB2_B,102_1.tif,68.0,,68.0,,0.0
minus_p2,DB2_B,102_1.tif,68.0,,79.0,,11.0
minus_p6,DB2_B,102_1.tif,68.0,,66.0,,-2.0
minus_p1,DB2_B,102_2.tif,63.0,,51.0,,-12.0
minus_p2,DB2_B,102_2.tif,63.0,,57.0,,-6.0
minus_p6,DB2_B,102_2.tif,63.0,,59.0,,-4.0
minus_p1,DB2_B,102_3.tif,63.0,,69.0,,6.0
minus_p2,DB2_B,102_3.tif,63.0,,78.0,,15.0
minus_p6,DB2_B,102_3.tif,63.0,,83.0,,20.0
minus_p1,DB2_B,102_4.tif,60.0,,56.0,,-4.0
minus_p2,DB2_B,102_4.tif,60.0,,70.0,,10.0
minus_p6,DB2_B,102_4.tif,60.0,,61.0,,1.0
minus_p1,DB2_B,102_5.tif,73.0,,61.0,,-12.0
minus_p2,DB2_B,102_5.tif,73.0,,78.0,,5.0
minus_p6,DB2_B,102_5.tif,73.0,,67.0,,-6.0
minus_p1,DB2_B,102_6.tif,66.0,,59.0,,-7.0
minus_p2,DB2_B,102_6.tif,66.0,,68.0,,2.0
minus_p6,DB2_B,102_6.tif,66.0,,70.0,,4.0
minus_p1,DB2_B,102_7.tif,78.0,,64.0,,-14.0
minus_p2,DB2_B,102_7.tif,78.0,,72.0,,-6.0
minus_p6,DB2_B,102_7.tif,78.0,,64.0,,-14.0
minus_p1,DB2_B,102_8.tif,57.0,,66.0,,9.0
minus_p2,DB2_B,102_8.tif,57.0,,78.0,,21.0
minus_p6,DB2_B,102_8.tif,57.0,,75.0,,18.0
minus_p1,DB2_B,103_1.tif,56.0,,56.0,,0.0
minus_p2,DB2_B,103_1.tif,56.0,,72.0,,16.0
minus_p6,DB2_B,103_1.tif,56.0,,61.0,,5.0
minus_p1,DB2_B,103_2.tif,48.0,,51.0,,3.0
minus_p2,DB2_B,103_2.tif,48.0,,67.0,,19.0
minus_p6,DB2_B,103_2.tif,48.0,,72.0,,24.0
