variant,db,file,raw_nfiq2,raw_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,delta_p1,delta_p2,delta_p6,delta_final
v2b,DB2_B,105_6.tif,52.0,,51.0,,51.0,,57.0,,-1.0,0.0,6.0,5.0
v2a,DB2_B,105_7.tif,32.0,,55.0,,61.0,,55.0,,23.0,6.0,-6.0,23.0
v2b,DB2_B,105_7.tif,32.0,,57.0,,57.0,,52.0,,25.0,0.0,-5.0,20.0
v2a,DB2_B,105_8.tif,38.0,,51.0,,59.0,,58.0,,13.0,8.0,-1.0,20.0
v2b,DB2_B,105_8.tif,38.0,,55.0,,55.0,,60.0,,17.0,0.0,5.0,22.0
v2a,DB2_B,106_1.tif,44.0,,70.0,,69.0,,66.0,,26.0,-1.0,-3.0,22.0
v2b,DB2_B,106_1.tif,44.0,,65.0,,65.0,,77.0,,21.0,0.0,12.0,33.0
v2a,DB2_B,106_2.tif,68.0,,76.0,,79.0,,67.0,,8.0,3.0,-12.0,-1.0
v2b,DB2_B,106_2.tif,68.0,,69.0,,69.0,,71.0,,1.0,0.0,2.0,3.0
v2a,DB2_B,106_3.tif,66.0,,68.0,,68.0,,67.0,,2.0,0.0,-1.0,1.0
